,Precio,Marca,Modelo,Año,Color,Tipo_de_combustible,Puertas,Transmision,Motor,Tipo_de_carroceria,Km
0,"290,000",Nissan,Sentra,2019,Café,Gasolina,4,Automática,1.8,Sedán,51000 km
1,"360,000",Nissan,X-Trail,2017,Negro,Gasolina,5,Automática,2.5,SUV,77976 km
2,"309,000",SEAT,Leon,2016,Gris,Gasolina,3,Automática,1.4,Hatchback,65240 km
3,"409,000",Jeep,Grand Cherokee,2015,Granito,Gasolina,5,Automática,3.6,SUV,112242 km
4,"479,000",Buick,Enclave,2017,Blanco,Gasolina,5,Automática,3.6,SUV,91931 km
5,"699,000",Honda,Odyssey,2019,Azul,Gasolina,5,Automática,3.5,Van,45050 km
6,"499,000",Chevrolet,Silverado,2017,Plateado,Gasolina,4,Automática,5.3,Pick-Up,104199 km
7,"284,000",Chevrolet,Trax,2017,Plateado,Gasolina,5,Automática,1.8,SUV,67511 km
8,"529,000",GMC,Acadia,2017,Negro,Gasolina,5,Automática,3.6,SUV,82000 km
9,"323,000",Nissan,Versa,2020,Gris,Gasolina,4,Automática,1.6,Sedán,42000 km
10,"189,900",Hyundai,Grand i10,2018,Blanco,Gasolina,4,Manual,1.2,Sedán,106500 km
11,"250,000",Nissan,March,2020,Blanco,Gasolina,5,Automática,1.6,Hatchback,55770 km
12,"202,000",Chevrolet,Aveo,2020,Rojo Cobrizo,Gasolina,4,Automática,1.6,Sedán,68001 km
13,"288,000",Nissan,Pathfinder,2014,Plateado,Gasolina,5,Automática,3.5,SUV,110700 km
14,"319,000",Honda,BR-V,2018,Blanco,Gasolina,5,Automática,1.5,SUV,94620 km
15,"399,000",Kia,Sorento,2016,Café,Gasolina,5,Automática,3.3,SUV,68756 km
16,"529,000",Honda,CR-V,2019,Gris,Gasolina,5,Automática,1.5,SUV,115723 km
17,"675,000",BMW,X5,2017,Plateado,Gasolina,5,Automática,4.4,SUV,75441 km
18,"259,000",Nissan,Versa,2020,Rojo,Gasolina,4,Manual,1.6,Sedán,29341 km
19,"244,000",Nissan,March,2020,Blanco,Gasolina,5,Manual,1.6,Hatchback,30488 km
20,"201,900",SEAT,Freetrack,2015,Plateado,Gasolina,5,Automática,2.0,SUV,120700 km
