,Precio,Marca,Modelo,Año,Color,Tipo_de_combustible,Puertas,Transmision,Motor,Tipo_de_carroceria,Km
0,"326,000",Volkswagen,Jetta,2018,Azul,Gasolina,4,Automática,2.5,Sedán,74278 km
1,"220,000",Volkswagen,Jetta,2015,Azul acero,Gasolina,4,Manual,2.5,Sedán,127197 km
2,"233,000",Volkswagen,Jetta,2015,Gris,Gasolina,4,Automática,2.0,Sedán,95769 km
3,"205,000",Volkswagen,Jetta,2015,Plateado,Gasolina,4,Manual,2.0,Sedán,82270 km
4,"420,000",Volkswagen,Jetta,2019,Plateado,Gasolina,4,Automática,1.4,Sedán,89294 km
5,"265,000",Volkswagen,Jetta,2016,Gris,Gasolina,4,Automática,2.5,Sedán,105165 km
6,"269,000",Volkswagen,Jetta,2017,Negro,Gasolina,4,Manual,2.5,Sedán,48669 km
7,"188,000",Volkswagen,Jetta,2011,Negro,Diésel,4,Automática,2.0,Sedán,92700 km
8,"230,000",Volkswagen,Jetta,2016,Negro,Gasolina,4,Automática,2.5,Sedán,106479 km
9,"359,000",Volkswagen,Jetta,2019,Azul,Gasolina,4,Automática,1.4,Sedán,41286 km
10,"439,000",Volkswagen,Jetta,2020,Azul,Gasolina,4,Automática,1.4,Sedán,36000 km
11,"290,000",Volkswagen,Jetta,2019,Azul,Gasolina,4,Automática,1.4,Sedán,81461 km
12,"330,000",Volkswagen,Jetta,2019,Blanco,Gasolina,4,Automática,1.4,Sedán,95690 km
13,"259,000",Volkswagen,Jetta,2017,Blanco,Gasolina,4,Automática,2.0,Sedán,78400 km
14,"330,000",Volkswagen,Jetta,2019,Negro,Gasolina,4,Manual,1.4,Sedán,93343 km
15,"320,000",Volkswagen,Jetta,2017,Dorado oscuro,Gasolina,4,Automática,2.5,Sedán,60175 km
16,"274,900",Volkswagen,Jetta,2016,Blanco,Gasolina,4,Manual,2.5,Sedán,50455 km
17,"229,900",Volkswagen,Jetta,2014,Marrón,Gasolina,4,Automática,2.5,Sedán,67703 km
18,"289,000",Volkswagen,Jetta,2018,Negro,Gasolina,4,Automática,2.5,Sedán,62000 km
19,"215,000",Volkswagen,Jetta,2015,Azul,Gasolina,4,Automática,2.0,Sedán,75160 km
20,"249,000",Volkswagen,Jetta,2017,Negro,Gasolina,4,Manual,2.5,Sedán,86128 km
21,"249,000",Volkswagen,Jetta,2018,Gris,Gasolina,4,Automática,4 cilindros - 6 velocidades - 113 hp - 2 válvulas,Sedán,91790 km
22,"315,000",Volkswagen,Jetta,2019,Gris,Gasolina,4,Manual,2.5,Sedán,62052 km
23,"289,900",Volkswagen,Jetta,2018,Blanco,Gasolina,4,Automática,2.5,Sedán,95075 km
24,"279,000",Volkswagen,Jetta,2018,Azul,Gasolina,4,Manual,2.5,Sedán,47564 km
25,"335,000",Volkswagen,Jetta,2019,Rojo,Gasolina,4,Automática,2.5,Sedán,48224 km
26,"385,000",Volkswagen,Jetta,2019,Azul,Gasolina,4,Automática,2.5,Sedán,55547 km
27,"465,000",Volkswagen,Jetta,2020,Negro,Gasolina,4,Automática,1.4,Sedán,22405 km
28,"225,000",Volkswagen,Jetta,2015,Azul,Gasolina,4,Automática,2.0,Sedán,44742 km
29,"425,000",Volkswagen,Jetta,2019,Blanco,Gasolina,4,Automática,1.4,Sedán,43000 km
30,"232,500",Volkswagen,Jetta,2014,Plateado,Gasolina,4,Automática,2.5,Sedán,42000 km
31,"465,000",Volkswagen,Jetta,2020,Negro,Gasolina,4,Automática,1.4,Sedán,22000 km
32,"410,000",Volkswagen,Jetta,2019,Blanco,Gasolina,4,Automática,4 cilindros - 6 velocidades - 148 hp - 4 válvulas,Sedán,70000 km
33,"349,000",Volkswagen,Jetta,2019,Blanco,Gasolina,4,Manual,4 cilindros - 6 velocidades - 148 hp - 4 válvulas,Sedán,58000 km
34,"199,000",Volkswagen,Jetta,2014,Gris,Gasolina,4,Automática,2.5,Sedán,94400 km
35,"199,000",Volkswagen,Jetta,2014,Blanco,Gasolina,4,Automática,2.5,Sedán,92000 km
36,"275,000",Volkswagen,Jetta,2018,Blanco,Gasolina,4,Automática,2.0,Sedán,44143 km
37,"510,000",Volkswagen,Jetta,2019,Blanco,Gasolina,4,Automática,2.0,Sedán,77000 km
38,"273,000",Volkswagen,Jetta,2018,Plateado,Gasolina,4,Manual,4 cilindros - 5 velocidades - 113 hp - 2 válvulas,Sedán,32542 km
39,"569,000",Volkswagen,Jetta,2020,Blanco,Gasolina,4,Automática,4 cilindros - 6 velocidades - 4 válvulas,Sedán,38000 km
40,"290,000",Volkswagen,Jetta,2017,Plateado,Gasolina,4,Manual,2.5,Sedán,65600 km
41,"329,000",Volkswagen,Jetta,2019,Plateado,Gasolina,4,Manual,4 cilindros - SPPEDS-6 velocidades - 148 hp - VALVES-4 válvulas,Sedán,63267 km
42,"319,000",Volkswagen,Jetta,2019,Azul,Gasolina,4,Manual,2.5,Sedán,36900 km
43,"345,000",Volkswagen,Jetta,2019,Azul,Gasolina,4,Automática,4 cilindros - SPPEDS-6 velocidades - 148 hp - VALVES-4 válvulas,Sedán,53219 km
44,"279,000",Volkswagen,Jetta,2018,Negro,Gasolina,4,Manual,4 cilindros - 5 velocidades - 113 hp - 2 válvulas,Sedán,37268 km
45,"290,000",Volkswagen,Jetta,2017,Azul,Gasolina,4,Automática,4 cilindros - 6 velocidades - 168 hp - 4 válvulas,Sedán,108885 km
46,"260,000",Volkswagen,Jetta,2016,Gris,Gasolina,4,Automática,2.5,Sedán,142600 km
47,"310,000",Volkswagen,Jetta,2017,Negro,Gasolina,4,Automática,5 cilindros - 6 velocidades - 168 hp - 4 válvulas,Sedán,54461 km
48,"198,000",Nissan,Versa,2017,Plateado,Gasolina,4,Automática,1.6,Sedán,55833 km
49,"213,000",Nissan,Versa,2018,Azul,Gasolina,4,Manual,1.6,Sedán,54769 km
50,"195,000",Nissan,Versa,2018,Blanco,Gasolina,4,Automática,1.6,Sedán,95210 km
51,"223,000",Nissan,Versa,2018,Rojo,Gasolina,4,Manual,1.6,Sedán,64359 km
52,"237,000",Nissan,Versa,2019,Plateado,Gasolina,4,Manual,1.6,Sedán,63218 km
53,"320,000",Nissan,Versa,2020,Naranja,Gasolina,4,Automática,1.6,Sedán,45496 km
